step	loss
4	1.8957167863845825
9	1.8814220428466797
14	1.8695580959320068
19	1.8587934970855713
24	1.8476836681365967
29	1.8336585760116577
34	1.8144261837005615
39	1.7873289585113525
44	1.7520817518234253
49	1.7089166641235352
54	1.6593095064163208
59	1.6032061576843262
64	1.541351318359375
69	1.473800778388977
74	1.4027671813964844
79	1.3310034275054932
84	1.2578169107437134
89	1.191672682762146
94	1.130483627319336
99	1.0838111639022827
104	1.0531760454177856
109	1.0361145734786987
114	1.0302879810333252
119	1.027097225189209
124	1.0241589546203613
129	1.0150970220565796
134	1.0139788389205933
139	1.0096585750579834
144	1.008194088935852
149	1.0065654516220093
154	1.0002152919769287
159	1.0006932020187378
164	0.994026243686676
169	0.9895792603492737
174	0.9857290983200073
179	0.9809498190879822
184	0.9758989810943604
