step	accuracy
4	0.042750000953674316
9	0.06776200234889984
14	0.19042399525642395
19	0.44144999980926514
24	0.6114599704742432
29	0.7159759998321533
34	0.7349339723587036
39	0.7407519817352295
44	0.7423319816589355
49	0.7427899837493896
54	0.7416139841079712
59	0.7422159910202026
64	0.7419319748878479
69	0.7424160242080688
74	0.7424839735031128
79	0.7416319847106934
84	0.7425500154495239
89	0.7411900162696838
94	0.7419660091400146
99	0.741786003112793
104	0.7416061758995056
109	0.7421280145645142
114	0.7418839931488037
119	0.7417880296707153
124	0.741569995880127
129	0.7432420253753662
134	0.742110013961792
139	0.7422419786453247
144	0.741569995880127
149	0.7410020232200623
154	0.7422099709510803
159	0.7407559752464294
164	0.7418720126152039
169	0.7419540286064148
174	0.7417479753494263
179	0.741864025592804
184	0.7420399785041809
