step	recall
4	0.04282600060105324
9	0.04722199961543083
14	0.7418280243873596
19	0.7416639924049377
24	0.7416660189628601
29	0.7430019974708557
34	0.742061972618103
39	0.7419660091400146
44	0.7424100041389465
49	0.742792010307312
54	0.7416139841079712
59	0.7422159910202026
64	0.7419319748878479
69	0.7424160242080688
74	0.7424839735031128
79	0.7416319847106934
84	0.7425500154495239
89	0.7411900162696838
94	0.7419660091400146
99	0.741786003112793
104	0.7416061758995056
109	0.7421280145645142
114	0.7418839931488037
119	0.7417880296707153
124	0.741569995880127
129	0.7432420253753662
134	0.742110013961792
139	0.7422419786453247
144	0.741569995880127
149	0.7410020232200623
154	0.7422099709510803
159	0.7407559752464294
164	0.7418720126152039
169	0.7419540286064148
174	0.7417479753494263
179	0.741864025592804
184	0.7420399785041809
189	0.7464240193367004
194	0.763808012008667
199	0.7677339911460876
204	0.7639840245246887
209	0.7638996243476868
214	0.7648540139198303
219	0.7644199728965759
224	0.7646380066871643
229	0.7642719745635986
234	0.7663480043411255
239	0.7655119895935059
244	0.7652599811553955
249	0.764989972114563
254	0.7759479880332947
259	0.7798320055007935
264	0.7818840146064758
269	0.7824379801750183
274	0.7819479703903198
279	0.7834100127220154
284	0.7840319871902466
289	0.7861700057983398
294	0.7858859896659851
299	0.7894780039787292
304	0.789900004863739
309	0.7913100123405457
314	0.7932121753692627
319	0.7958679795265198
324	0.8034340143203735
329	0.8088600039482117
334	0.8106020092964172
339	0.8125259876251221
344	0.8154720067977905
349	0.818340003490448
354	0.8199999928474426
359	0.8213220238685608
364	0.8208500146865845
369	0.8225399851799011
374	0.8244580030441284
379	0.825875997543335
384	0.8261119723320007
389	0.8270099759101868
394	0.828029990196228
399	0.8270599842071533
404	0.8292160034179688
409	0.8295639753341675
414	0.8291140198707581
419	0.8326355218887329
424	0.8293700218200684
429	0.8307279944419861
434	0.8311859965324402
439	0.8322160243988037
444	0.8332719802856445
449	0.833765983581543
454	0.8326879739761353
459	0.8348760008811951
464	0.834551990032196
469	0.8360999822616577
474	0.8328220248222351
479	0.8362119793891907
484	0.8377060294151306
489	0.8376439809799194
494	0.8391720056533813
499	0.8388260006904602
504	0.8402640223503113
509	0.8402180075645447
514	0.8424440026283264
519	0.8446580171585083
524	0.8464828729629517
529	0.8479120135307312
534	0.8478519916534424
539	0.8509200215339661
544	0.8524060249328613
549	0.8545119762420654
554	0.8558740019798279
559	0.8588060140609741
564	0.8616420030593872
569	0.8627880215644836
574	0.8664439916610718
579	0.8669800162315369
584	0.8713639974594116
589	0.8693000078201294
594	0.871724009513855
599	0.8764320015907288
604	0.8779079914093018
609	0.8807179927825928
614	0.8831019997596741
619	0.8848980069160461
624	0.8859019875526428
629	0.887239396572113
634	0.8880980014801025
639	0.889057993888855
644	0.8929979801177979
649	0.8944140076637268
654	0.8966580033302307
659	0.8957099914550781
664	0.8982719779014587
669	0.9017159938812256
674	0.9020339846611023
679	0.9050559997558594
684	0.9055659770965576
689	0.9086560010910034
694	0.9075800180435181
699	0.9117239713668823
704	0.9129160046577454
709	0.9133999943733215
714	0.9175260066986084
719	0.9187840223312378
724	0.9202079772949219
729	0.9202759861946106
734	0.9221766591072083
739	0.9244840145111084
744	0.9235759973526001
749	0.9253079891204834
754	0.9267619848251343
759	0.9290400147438049
764	0.9301440119743347
769	0.9307600259780884
774	0.9310320019721985
779	0.9329519867897034
784	0.9340019822120667
789	0.9346920251846313
794	0.9350100159645081
799	0.935994029045105
804	0.9366379976272583
809	0.9380360245704651
814	0.9381139874458313
819	0.9396799802780151
824	0.9416040182113647
829	0.9416940212249756
834	0.9421679973602295
839	0.9414253234863281
844	0.944159984588623
849	0.9453420042991638
854	0.9460980296134949
859	0.9456660151481628
864	0.9444779753684998
869	0.9475160241127014
874	0.9495700001716614
879	0.9498239755630493
884	0.9495720267295837
889	0.9496240019798279
894	0.9508460164070129
899	0.9500579833984375
904	0.9518139958381653
909	0.9533839821815491
914	0.9547579884529114
919	0.9553160071372986
924	0.9557560086250305
929	0.9564999938011169
934	0.9529380202293396
939	0.9535059928894043
944	0.9569986462593079
949	0.9580439925193787
954	0.9585239887237549
959	0.9595879912376404
964	0.960237979888916
969	0.9595680236816406
974	0.9600880146026611
