step	loss
4	1.8748801946640015
9	1.7891932725906372
14	1.68052339553833
19	1.5536149740219116
24	1.3792392015457153
29	1.200880527496338
34	1.0601537227630615
39	1.0008684396743774
44	1.0264954566955566
49	1.0067453384399414
54	0.9705767631530762
59	0.9688639044761658
64	0.9845327734947205
69	0.9643983840942383
74	0.9613592028617859
79	0.9739158153533936
84	0.9558241367340088
89	0.9508662223815918
94	0.957213282585144
99	0.9299204349517822
104	0.9277589321136475
109	0.8907302618026733
114	0.8825989365577698
119	0.8685113191604614
124	0.8468632102012634
129	0.8451294302940369
134	0.8175966143608093
139	0.8099196553230286
144	0.8026112914085388
149	0.7598936557769775
154	0.7555128931999207
159	0.7257400155067444
164	0.7108301520347595
169	0.6666742563247681
174	0.6605191230773926
179	0.623972475528717
184	0.6116464734077454
189	0.5777531266212463
194	0.526757001876831
199	0.5114823579788208
204	0.4753100574016571
209	0.4492558538913727
214	0.4264661371707916
219	0.3882455825805664
224	0.3764134645462036
229	0.3515903651714325
234	0.33912163972854614
239	0.3159728944301605
244	0.2945142984390259
249	0.280611127614975
254	0.2689894139766693
259	0.24960675835609436
264	0.24721276760101318
269	0.2202543020248413
274	0.21917390823364258
279	0.2079399675130844
284	0.20266093313694
289	0.18993237614631653
294	0.1805931180715561
299	0.18002448976039886
304	0.17596516013145447
309	0.16572175920009613
314	0.16891644895076752
319	0.15275193750858307
324	0.153421089053154
329	0.14518488943576813
334	0.14214929938316345
339	0.13914060592651367
344	0.13586989045143127
349	0.13547666370868683
354	0.1276804655790329
359	0.12666663527488708
364	0.12644550204277039
369	0.1215883120894432
374	0.122398741543293
379	0.1166214793920517
384	0.11216108500957489
389	0.11128299683332443
394	0.1097884476184845
399	0.10761708766222
404	0.10395447909832001
409	0.10349196195602417
414	0.1011715978384018
419	0.09994600713253021
424	0.09868596494197845
429	0.09692220389842987
434	0.09494350105524063
439	0.09389888495206833
444	0.09083595871925354
449	0.0907478928565979
454	0.09031777083873749
459	0.08671661466360092
464	0.08924989402294159
