step	f1
0	0.49897778034210205
1	0.49897778034210205
2	0.49897778034210205
3	0.49897778034210205
4	0.49897778034210205
5	0.49897778034210205
6	0.5135614275932312
7	0.5323701500892639
8	0.5519967079162598
9	0.5702603459358215
10	0.5877061486244202
11	0.6052882671356201
12	0.6189178228378296
13	0.6280496120452881
14	0.6332288384437561
15	0.6374539732933044
16	0.6385443806648254
17	0.6382717490196228
18	0.6381354928016663
19	0.638680636882782
20	0.6388169527053833
21	0.6393621563911438
22	0.6414065957069397
23	0.6418154835700989
24	0.6418154835700989
25	0.6405888199806213
26	0.6418154835700989
27	0.6434509754180908
28	0.6437236070632935
29	0.6445413827896118
30	0.6453591585159302
31	0.6453591585159302
32	0.6439961791038513
33	0.6460406184196472
34	0.6434509754180908
35	0.6424969434738159
36	0.6412702798843384
37	0.6382717490196228
38	0.6371814012527466
39	0.6347280740737915
40	0.6336377263069153
41	0.635273277759552
42	0.635954737663269
43	0.6384080648422241
44	0.64045250415802
45	0.6434509754180908
46	0.6461769342422485
47	0.6493117213249207
48	0.6513561606407166
49	0.6555812954902649
50	0.6570805311203003
51	0.6596701741218567
52	0.6603516340255737
53	0.6615782976150513
54	0.6618508696556091
55	0.6622597575187683
56	0.6623960733413696
57	0.6628049612045288
58	0.6633501648902893
59	0.6630775332450867
60	0.6628049612045288
61	0.6637590527534485
62	0.6634864211082458
63	0.663213849067688
64	0.6630775332450867
65	0.6629412770271301
66	0.6622597575187683
67	0.6617146134376526
68	0.6621235013008118
69	0.662532389163971
70	0.6637590527534485
71	0.664985716342926
72	0.6658034324645996
73	0.6671664118766785
74	0.6679841876029968
75	0.6700286269187927
76	0.6703011989593506
77	0.6712552905082703
78	0.6722093224525452
79	0.6723456382751465
80	0.6730270981788635
81	0.6737086176872253
82	0.6746626496315002
83	0.6742537617683411
84	0.6746626496315002
85	0.6741175055503845
86	0.6741175055503845
87	0.6738448739051819
88	0.6737086176872253
89	0.6745263934135437
90	0.6746626496315002
91	0.6745263934135437
92	0.6749352812767029
93	0.6753441691398621
94	0.6758893132209778
95	0.6764345169067383
96	0.676298201084137
97	0.6771159768104553
98	0.6771159768104553
99	0.6771159768104553
100	0.6777974367141724
101	0.6783426403999329
102	0.678751528263092
103	0.6790241003036499
104	0.6803870797157288
105	0.6809322834014893
106	0.6820226311683655
107	0.6824315190315247
108	0.6829767227172852
109	0.6839307546615601
110	0.6840670704841614
111	0.6842033267021179
112	0.6843396425247192
113	0.6844759583473206
114	0.6846122145652771
115	0.6848848462104797
116	0.6854299902915955
117	0.6857026219367981
118	0.6862477660179138
119	0.6870655417442322
120	0.6874744296073914
121	0.6876107454299927
122	0.6882922053337097
123	0.6878833174705505
124	0.6887010931968689
125	0.6893825531005859
126	0.6896551847457886
127	0.6899277567863464
128	0.6897914409637451
129	0.6902003288269043
130	0.691154420375824
131	0.6916996240615845
132	0.6919721961021423
133	0.6927899718284607
134	0.6927899718284607
135	0.693607747554779
136	0.6934714317321777
