step	accuracy
0	0.499114066362381
1	0.499114066362381
2	0.499114066362381
3	0.499114066362381
4	0.499114066362381
5	0.5134251117706299
6	0.531416118144989
7	0.5492708086967468
8	0.5652173757553101
9	0.5803461670875549
10	0.5958839058876038
11	0.6092408299446106
12	0.6251873970031738
13	0.6317296028137207
14	0.6347280740737915
15	0.6388169527053833
16	0.6373177170753479
17	0.6375902891159058
18	0.6396347284317017
19	0.6405888199806213
20	0.6405888199806213
21	0.6403161883354187
22	0.6394984126091003
23	0.6405888199806213
24	0.639771044254303
25	0.64045250415802
26	0.6408613920211792
27	0.6422243714332581
28	0.6445413827896118
29	0.6464495062828064
30	0.6497206091880798
31	0.6509472727775574
32	0.6520376205444336
33	0.6525828242301941
34	0.6525828242301941
35	0.6487665176391602
36	0.644950270652771
37	0.6422243714332581
38	0.6418154835700989
39	0.6405888199806213
40	0.6399073004722595
41	0.639771044254303
42	0.6419517397880554
43	0.6429058313369751
44	0.6450865268707275
45	0.6482213735580444
46	0.650810956954956
47	0.6538094878196716
48	0.6565353870391846
49	0.6570805311203003
50	0.6589887142181396
51	0.6595338582992554
52	0.6611694097518921
53	0.6619871854782104
54	0.6633501648902893
55	0.663895308971405
56	0.666621208190918
57	0.6668938398361206
58	0.6682567596435547
59	0.6688019633293152
60	0.6686656475067139
61	0.670164942741394
62	0.6697560548782349
63	0.6694834232330322
64	0.6689382791519165
65	0.669074535369873
66	0.6703011989593506
67	0.6704375147819519
68	0.6708464026451111
69	0.6705738306045532
70	0.671118974685669
71	0.6715278625488281
72	0.6715278625488281
73	0.6715278625488281
74	0.671800434589386
75	0.6726182103157043
76	0.6732997298240662
77	0.6726182103157043
78	0.6727545261383057
79	0.6731634140014648
80	0.6741175055503845
81	0.6742537617683411
82	0.6756167411804199
83	0.6756167411804199
84	0.6764345169067383
85	0.6776611804962158
86	0.678070068359375
87	0.6784789562225342
88	0.6783426403999329
89	0.678751528263092
90	0.6792967319488525
91	0.6792967319488525
92	0.6795693039894104
93	0.6797056198120117
